channel_id,title,sub_count,video_count,view_count,engagement,country,exported_already,date_of_export,embed_url
UCsRkUJuBh9cmada8S9Z8aig,Vũ Liz Minecraft,464000,78,11573057,24.941933189655174,VN,False,,
UCcoXbmaUfns8Kx4E5YbwIZA,Kraken Kid | Minecraft,786000,1583,268541374,341.6556921119593,US,False,,
UCmZE2ovuXp8TOmqYj0dKg5g,szymeQ Minecraft,851000,1421,286920071,337.15637015276144,,False,,
UCLXC5n44kCVpF4HTBMGjuZw,Jolly ol Brits play Minecraft,217000,225,50614519,233.24663133640553,,False,,
UC7iyparkdas-4UTSL_gktQg,Rezendeevil Minecraft,1800000,244,83202982,46.22387888888889,BR,False,,
UC9kilajrLqUbv4cWXwgvcGQ,MinecraftProduced | Monster School: (Minecraft Animation),1030000,503,357789268,347.3682213592233,DE,False,,
UCz_yrc3BO9ve7UgDGZn4dig,MC Naveed - Minecraft & Roblox and MORE!,2440000,1801,1462777228,599.4988639344263,GB,False,,
UCj4zC1Hfj-uc90FUXzRamNw,Phoenix SC,811000,1273,313311349,386.3271874229346,AU,False,,
UCD09nFjPOatRr4nNy9siEpA,Minecraft Middle Earth,11300,39,1711479,151.4583185840708,BE,False,,
UCFrVj6wBM42y3XuKCAj8n5A,SB737,1010000,2105,531722151,526.4575752475248,GB,False,,
UCVSWjYiQp6Er2lysDEdeVsQ,MINECRAFTdotNET | Minecraft Community Channel,208000,2787,85620878,411.63883653846153,GB,False,,
UC7FUzLodkBujPjM5pxqGBjw,Galaxy Goats,301000,97,45135575,149.95207641196012,US,False,,
UClw5UTugvHO-VL7n-IaxaTA,Professor Pikalus | Minecraft,394000,903,103832903,263.53528680203044,US,False,,
UCayW68W3V7Xj3UNyp01Pq_Q,GhostWolfGames - Minecraft/Pixelmon,36300,2098,9132464,251.5830303030303,,False,,
UC7gq2-NgrAnlmDl60TaSfMQ,Minecraft Ethan,195000,187,79784432,409.15093333333334,US,False,,
UC5bFeFDtnvMsXutvhcOJU8Q,LazyMiner,242000,49,13444195,55.55452479338843,US,False,,
UCZg7Trb0CL4GJeWWXJwmLEQ,BR3THR3N - Minecraft Xbox & Pixelmon,80500,440,9097191,113.00858385093167,,False,,
UCR4xGfaPsPctQvKRctFSI2g,A1MOSTADDICTED MINECRAFT,370000,744,73140774,197.67776756756757,GB,False,,
UCKNV3C-EQDRhlAKXK_dBovA,"Puppet Steve - Minecraft, FNAF & Toy Unboxings",756000,1147,458059702,605.8990767195767,US,False,,
UCNBPasbml9pnDJ_qTyOZo7w,AlongCameJosh,85000,535,20905359,245.9454,GB,False,,
UC9FhHyIDTo3u05-S8YGXwWQ,Minecraft How to build a house,62500,21,13078204,209.251264,US,False,,
UCuPfkZuwz7kyNjCV5Uwk3ow,Cannibal Crab | Minecraft,423000,1237,91845528,217.12890780141845,US,False,,
UCsO-FHM6wKiHy8v8offLY1Q,Minecraft Movies,239000,270,23331288,97.62045188284519,,False,,
UC_LBXGLs8Sa0opJHFVDVBqA,Jragon // Learn How To Make Minecraft Commands,40200,442,5766297,143.44022388059702,AU,False,,
UCM3BIqdW3IYY6GTlWidzTeQ,[GMS] GB Minecraft studio,29300,97,599738,20.468873720136518,KR,False,,
UC4aTjUgJhAolWdYaP0jKc5A,MinecraftFRCommu | La chaine communautaire 100% Minecraft,71300,1182,11625509,163.05061711079944,FR,False,,
UCqJUX55akwq_spmYQGjiMOg,DanOMG,4350000,173,490019878,112.64824781609195,,False,,
UCoVSaXJtW0a8E1iCD6Nm7FA,Atlantic Craft - Minecraft,773000,488,93034290,120.3548382923674,US,False,,
UCpyyFsCzfwOpRfI0MFySwyQ,ipodhugo63 - Minecraft PE / Clash of Clans / Boom Beach,13200,516,3122358,236.54227272727272,FR,False,,
UCl4JNcDtowIOPO6yKwtyYkA,TF Minecraft,14200,371,2682152,188.88394366197184,,False,,
UCau78yk6z8H1WXPfdFDHdTQ,Minecraft Teen Titans GO,364000,246,103718476,284.9408681318681,US,False,,
UCDwLDS7HiYN3Mw9pNOpZ6Gg,Servidores Minecraft,39800,488,9514730,239.06356783919597,ES,False,,
UCfhPRqZlBMUQBEJ9UWtZfTg,JuankiBoom - Minecraft Roleplay,283000,788,37559681,132.71972084805654,ES,False,,
UCKlpo4JMUNZ-_U8gvQrpC1Q,Generzon - Minecraft,60500,1286,8175657,135.13482644628098,GB,False,,
UCnmkyAntDO1qty2CEORjBFg,SQUIDO TYLKO MINECRAFT,38800,1237,19258233,496.3462113402062,PL,False,,
UCvRP463JEbE7VsFV1H0XQ5w,Koshi Minecraft,249000,798,47777248,191.87649799196788,PL,False,,
UCbt2ROPSS5AebcjYGgUXn0Q,Yuy - Minecraft Gameplays en español,49900,586,4319363,86.56038076152305,ES,False,,
UCQLJP2NLGXxEosSEW5vaohQ,Minecraft Bedrock - Topic,372000,0,0,0.0,,False,,
UCwqJYTxm3FAZXeV58EdFcRQ,fWhip,350000,743,42759824,122.17092571428572,US,False,,
UCX-TEBEbPrltBZGJVeF8kQw,Szendi Minecraft,340000,0,41705193,122.66233235294118,PL,False,,
UCUGHT662G_zU40DIbNBtdvw,Piggy - Minecraft Animations,2500000,281,256414330,102.565732,US,False,,
UCCJj-GSH5qqww9FWqt0r-hA,MINECRAFT ALIOLI,19300,8,476190,24.67305699481865,,False,,
UC0Z3YrieapcyYJGggbHKEWQ,Minecraft Horror Daycare,138000,388,23542962,170.60117391304348,US,False,,
UCBQOSXdK0rgWIGCYCw4rd7g,LakiYT Minecraft,605000,742,218232996,360.7156958677686,PL,False,,
UCjewtQLpJEENPLbrCtb6YpA,CrazyFox - Minecraft,474000,121,97459859,205.61151687763714,DE,False,,
UCFZNswya6SbFmjbspDXhCQA,Biffa Plays Minecraft,30800,230,1608300,52.217532467532465,,False,,
UC9ehN9fAkoRe1intSnhgaHg,Minecraft Mania,29100,72,1333198,45.814364261168386,,False,,
UCRWbqpy_JUhatPTOmk0M9Kg,GhostBlock - Monster School Minecraft Animations,707000,39,61696403,87.26506789250354,,False,,
UCk7lo9Br19Oy3W62ssjjYIQ,"Xaptrosity | Gaming, Minecraft & MORE!",55700,453,12488518,224.21037701974865,,False,,
UCbgsp9UwwYb0Q4T8iq2fklQ,MatrunerPL Minecraft,528000,850,130382485,246.93652462121213,PL,False,,
